曲名,難易度,STDORDX,スコア
ゆりかご,MAS,DX,998302
月光,MAS,DX,988017
トンデモワンダーズ,MAS,DX,986770
ザムザ,MAS,DX,1006590
デビルじゃないもん,MAS,DX,1003276
てらてら,MAS,DX,1001510
バグ,MAS,DX,989108
人マニア,MAS,DX,988205
イガク,MAS,DX,983957
フォニイ,MAS,DX,990521
グッバイ宣言,MAS,DX,966938
星界ちゃんと可不ちゃんのおつかい合騒曲,MAS,DX,905330
きゅうくらりん,MAS,DX,996614
RAD DOGS,MAS,DX,985097
劣等上等,MAS,DX,983347
にっこり^^調査隊のテーマ,MAS,DX,1003195
アイディスマイル,MAS,DX,992527
つづみぐさ,MAS,DX,995487
熱異常,MAS,DX,971891
1000年生きてる,MAS,DX,1004008
バベル,MAS,DX,997062
転生林檎,MAS,DX,1002162
匿名M,MAS,DX,977960
ノンブレス・オブリージュ,MAS,DX,991694
神っぽいな,MAS,DX,991885
魔法少女とチョコレゐト,MAS,DX,1000650
頓珍漢の宴,MAS,STD,979969
すろぉもぉしょん,MAS,STD,894526
アニマル,MAS,DX,967465
ヴァンパイア,MAS,DX,986114
乙女解剖,MAS,DX,898785
アンドロイドガール,MAS,DX,979907
ヒバナ,MAS,STD,995643
ゴーストルール,MAS,DX,969765
妄想税,MAS,STD,990809
モザイクロール,MAS,STD,979665
弱虫モンブラン,MAS,STD,1004985
病み垢ステロイド,MAS,DX,1001884
カーニバルハッピー,MAS,DX,997913
ベノム,MAS,DX,998971
失敗作少女,MAS,DX,993152
QUEEN,MAS,DX,1005639
EYE,MAS,DX,987067
KING,MAS,DX,996217
ラヴィ,MAS,DX,995471
エゴロック,MAS,DX,992483
ジャンキーナイトタウンオーケストラ,MAS,DX,971645
テレキャスタービーボーイ,MAS,DX,966459
リアライズ,MAS,DX,1004256
マーシャル・マキシマイザー,MAS,DX,997654
終焉逃避行,MAS,DX,988259
ウルトラトレーラー,MAS,DX,1001223
ライアーダンサー,MAS,DX,1005531
強風オールバック,MAS,DX,997276
寝起きヤシの木,MAS,DX,994529
snooze,MAS,DX,988074
ワールドワイドワンダー,MAS,DX,1001628
演劇,MAS,DX,1001043
ずんだパーリナイ,MAS,DX,990515
エイプリルスター,MAS,DX,998326
オーバーライド,MAS,DX,999414
右に曲ガール,MAS,DX,996065
サイバーサンダーサイダー,MAS,DX,987723
おくすり飲んで寝よう,MAS,DX,999659
バカ通信,MAS,DX,1003049
Freak Out Hr.,MAS,DX,996685
＊ハロー、プラネット。,MAS,DX,981799
スティールユー,MAS,DX,994486
テオ,MAS,DX,984582
グリーンライツ・セレナーデ,MAS,DX,1000155
Alice in 冷凍庫,MAS,DX,995055
キミノヨゾラ哨戒班,MAS,STD,895294
へべれけジャンキー,MAS,DX,983267
ビターチョコデコレーション,MAS,DX,961303
初音天地開闢神話,MAS,DX,967553
終点,MAS,STD,1000952
キャットラビング,MAS,DX,980145
だれかの心臓になれたなら,MAS,DX,972415
命に嫌われている,MAS,DX,986919
まにまに,MAS,DX,935898
春嵐,MAS,DX,989081
ラグトレイン,MAS,DX,1002039
幽霊東京,MAS,DX,942976
ロウワー,MAS,DX,985845
命ばっかり,MAS,STD,984735
フラジール,MAS,STD,975605
フィクサー,MAS,STD,999846
ロキ,MAS,STD,983627
いーあるふぁんくらぶ,MAS,STD,993943
バレリーコ,MAS,STD,984301
猫猫的宇宙論,MAS,DX,984214
明星ギャラクティカ,MAS,DX,993163
彗星ハネムーン,MAS,STD,975047
ダンスロボットダンス,MAS,STD,972992
エイリアンエイリアン,MAS,STD,996003
花となれ,MAS,DX,983638
オシオキGIMMICK!!,MAS,DX,994459
スイートマジック,MAS,STD,977195
ハッピーシンセサイザ,MAS,DX,985755
ハッピーシンセサイザ,MAS,STD,997000
ずんだもんの朝食　〜目覚ましずんラップ〜,MAS,DX,948409
あなたは世界の終わりにずんだを食べるのだ,MAS,DX,985595
ツギハギスタッカート,MAS,DX,1003580
ジェヘナ,MAS,DX,994652
さよならプリンセス,MAS,DX,991050
ただ選択があった,MAS,DX,1003394
悪魔の踊り方,MAS,DX,977818
ドーナツホール,MAS,STD,999846
砂の惑星 feat. HATSUNE MIKU,MAS,STD,948763
ゴーゴー幽霊船,MAS,DX,999088
マトリョシカ,MAS,STD,962660
雨とペトラ,MAS,DX,980167
シャルル,MAS,DX,972022
シャルル,MAS,STD,945948
ナンセンス文学,MAS,STD,984966
脳漿炸裂ガール,MAS,DX,980906
夜咄ディセイブ,MAS,STD,980348
白ゆき,MAS,STD,997816
ウミユリ海底譚,MAS,STD,1009011
だんだん早くなる,MAS,STD,985366
恋愛裁判,MAS,STD,937457
からくりピエロ,MAS,STD,1005528
アンノウン・マザーグース,MAS,STD,969002
アンハッピーリフレイン,MAS,STD,954717
ローリンガール,MAS,STD,977676
ワールズエンド・ダンスホール,MAS,STD,961641
ロールプレイングゲーム,MAS,STD,971625
立ち入り禁止,MAS,STD,944826
カラフル×メロディ,MAS,STD,968439
セツナトリップ,MAS,DX,986240
放課後ストライド,MAS,STD,990913
どぅーまいべすと！,MAS,DX,1005532
再会,MAS,DX,1005328
約束,MAS,DX,996376
+♂,MAS,STD,993238
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,MAS,STD,984509
幾望の月,MAS,DX,981205
ラットが死んだnew words,MAS,DX,979567
阿吽のビーツ,MAS,DX,979456
デリヘル呼んだら君が来た,MAS,DX,998105
ガランド,MAS,DX,1000523
